CELLID,NODEBID,COD RF,NODEBNAME,RNC,Estado,Región RF,Region Comercial,Latitud,Longitud
30165,3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
30166,3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
30167,3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
30168,3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
30169,3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
30171,3017,4222,Vial Mochima - Cumana SUC,LCH,Sucre,Oriente,Oriente,10.375964,-64.287164
30172,3017,4222,Vial Mochima - Cumana SUC,LCH,Sucre,Oriente,Oriente,10.375964,-64.287164
30173,3017,4222,Vial Mochima - Cumana SUC,LCH,Sucre,Oriente,Oriente,10.375964,-64.287164
30174,3017,4222,Vial Mochima - Cumana SUC,LCH,Sucre,Oriente,Oriente,10.375964,-64.287164
30175,3017,4222,Vial Mochima - Cumana SUC,LCH,Sucre,Oriente,Oriente,10.375964,-64.287164
30176,3017,4222,Vial Mochima - Cumana SUC,LCH,Sucre,Oriente,Oriente,10.375964,-64.287164
30191,3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
30192,3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
30193,3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
